[DubaiMatrixASI] 21:23:14.905    OMEGA │ ⚡ 💀 NUCLEAR STRIKE: ATOMIC_PROFIT_LOCK: Evaporação ($78.24->$-123.28, DD=100.0%) | Closing 2 slots para BTCUSD
[DubaiMatrixASI] 21:23:15.151    OMEGA │ ⚡ 💀 NUCLEAR STRIKE: ATOMIC_PROFIT_LOCK: Evaporação ($78.24->$-123.28, DD=100.0%) | Closing 2 slots para BTCUSD
[DubaiMatrixASI] 21:23:15.419    OMEGA │ ⚡ 💀 NUCLEAR STRIKE: ATOMIC_PROFIT_LOCK: Evaporação ($78.24->$-123.28, DD=100.0%) | Closing 2 slots para BTCUSD
[DubaiMatrixASI] 21:23:15.661    OMEGA │ ⚡ 💀 NUCLEAR STRIKE: ATOMIC_PROFIT_LOCK: Evaporação ($78.24->$-123.28, DD=100.0%) | Closing 2 slots para BTCUSD
[DubaiMatrixASI] 21:23:15.921    OMEGA │ ⚡ 💀 NUCLEAR STRIKE: ATOMIC_PROFIT_LOCK: Evaporação ($78.24->$-123.28, DD=100.0%) | Closing 2 slots para BTCUSD
[DubaiMatrixASI] 21:23:16.165    OMEGA │ ⚡ 💀 NUCLEAR STRIKE: ATOMIC_PROFIT_LOCK: Evaporação ($78.24->$-123.28, DD=100.0%) | Closing 2 slots para BTCUSD
[DubaiMatrixASI] 21:23:16.454    OMEGA │ ⚡ 💀 NUCLEAR STRIKE: ATOMIC_PROFIT_LOCK: Evaporação ($78.24->$-123.30, DD=100.0%) | Closing 2 slots para BTCUSD
[DubaiMatrixASI] 21:23:16.679    OMEGA │ ⚡ 💀 NUCLEAR STRIKE: ATOMIC_PROFIT_LOCK: Evaporação ($78.24->$-123.00, DD=100.0%) | Closing 2 slots para BTCUSD
[DubaiMatrixASI] 21:23:16.922    OMEGA │ ⚡ 💀 NUCLEAR STRIKE: ATOMIC_PROFIT_LOCK: Evaporação ($78.24->$-143.60, DD=100.0%) | Closing 2 slots para BTCUSD
[DubaiMatrixASI] 21:23:17.164    OMEGA │ ⚡ 💀 NUCLEAR STRIKE: ATOMIC_PROFIT_LOCK: Evaporação ($78.24->$-156.18, DD=100.0%) | Closing 2 slots para BTCUSD
[DubaiMatrixASI] 21:23:17.434    OMEGA │ ⚡ 💀 NUCLEAR STRIKE: ATOMIC_PROFIT_LOCK: Evaporação ($78.24->$-167.76, DD=100.0%) | Closing 2 slots para BTCUSD
[DubaiMatrixASI] 21:23:17.671    OMEGA │ ⚡ 💀 NUCLEAR STRIKE: ATOMIC_PROFIT_LOCK: Evaporação ($78.24->$-166.94, DD=100.0%) | Closing 2 slots para BTCUSD
[DubaiMatrixASI] 21:23:17.937    OMEGA │ ⚡ 💀 NUCLEAR STRIKE: ATOMIC_PROFIT_LOCK: Evaporação ($78.24->$-167.78, DD=100.0%) | Closing 2 slots para BTCUSD
[DubaiMatrixASI] 21:23:18.188    OMEGA │ ⚡ 💀 NUCLEAR STRIKE: ATOMIC_PROFIT_LOCK: Evaporação ($78.24->$-167.76, DD=100.0%) | Closing 2 slots para BTCUSD
[DubaiMatrixASI] 21:23:18.448    OMEGA │ ⚡ 💀 NUCLEAR STRIKE: ATOMIC_PROFIT_LOCK: Evaporação ($78.24->$-170.68, DD=100.0%) | Closing 2 slots para BTCUSD
[DubaiMatrixASI] 21:23:18.708    OMEGA │ ⚡ 🛡️ [CHAOS SHIELD] Regime UNKNOWN detectado. Alargando SL para 1.25 ATR.
[DubaiMatrixASI] 21:23:18.754  WARNING │ ⚠️ NON-ERGODIC RUIN DETECTED: Growth Rate -0.000000 for best leverage 0.5. Reducing exposure.
