[DubaiMatrixASI] 14:32:28.731    OMEGA │ ⚡ ⏰ TIME DECAY EXIT: Ticket 1586905831 | Aberto por 374s | Profit=$5.26
[DubaiMatrixASI] 14:32:28.731    OMEGA │ ⚡ ⚡ FAST CLOSE SINALIZADO: ticket=1586905831 (via socket)
[DubaiMatrixASI] 14:32:28.732    OMEGA │ ⚡ ⏰ TIME DECAY EXIT: Ticket 1586905855 | Aberto por 374s | Profit=$5.69
[DubaiMatrixASI] 14:32:28.732    OMEGA │ ⚡ ⚡ FAST CLOSE SINALIZADO: ticket=1586905855 (via socket)
[DubaiMatrixASI] 14:32:28.732    OMEGA │ ⚡ ⏰ TIME DECAY EXIT: Ticket 1586905893 | Aberto por 374s | Profit=$6.17
[DubaiMatrixASI] 14:32:28.733    OMEGA │ ⚡ ⚡ FAST CLOSE SINALIZADO: ticket=1586905893 (via socket)
[DubaiMatrixASI] 14:32:28.733    OMEGA │ ⚡ ⏰ TIME DECAY EXIT: Ticket 1586905915 | Aberto por 374s | Profit=$5.98
[DubaiMatrixASI] 14:32:28.733    OMEGA │ ⚡ ⚡ FAST CLOSE SINALIZADO: ticket=1586905915 (via socket)
[DubaiMatrixASI] 14:32:28.734    OMEGA │ ⚡ ⏰ TIME DECAY EXIT: Ticket 1586905925 | Aberto por 374s | Profit=$5.97
[DubaiMatrixASI] 14:32:28.734    OMEGA │ ⚡ ⚡ FAST CLOSE SINALIZADO: ticket=1586905925 (via socket)
[DubaiMatrixASI] 14:32:28.734    OMEGA │ ⚡ ⏰ TIME DECAY EXIT: Ticket 1586905939 | Aberto por 374s | Profit=$6.05
[DubaiMatrixASI] 14:32:28.735    OMEGA │ ⚡ ⚡ FAST CLOSE SINALIZADO: ticket=1586905939 (via socket)
[DubaiMatrixASI] 14:32:28.735    OMEGA │ ⚡ ⏰ TIME DECAY EXIT: Ticket 1586905950 | Aberto por 374s | Profit=$6.16
[DubaiMatrixASI] 14:32:28.736    OMEGA │ ⚡ ⚡ FAST CLOSE SINALIZADO: ticket=1586905950 (via socket)
[DubaiMatrixASI] 14:32:28.736    OMEGA │ ⚡ ⏰ TIME DECAY EXIT: Ticket 1586905975 | Aberto por 374s | Profit=$6.16
[DubaiMatrixASI] 14:32:28.736    OMEGA │ ⚡ ⚡ FAST CLOSE SINALIZADO: ticket=1586905975 (via socket)
[DubaiMatrixASI] 14:32:28.737    OMEGA │ ⚡ ⏰ TIME DECAY EXIT: Ticket 1586905986 | Aberto por 374s | Profit=$6.15
[DubaiMatrixASI] 14:32:28.737    OMEGA │ ⚡ ⚡ FAST CLOSE SINALIZADO: ticket=1586905986 (via socket)
[DubaiMatrixASI] 14:32:28.889     INFO │ 📩 Resposta EA Socket: RESULT|CLOSE|SUCCESS|1436847597|68187.28
[DubaiMatrixASI] 14:32:28.935     INFO │ 📩 Resposta EA Socket: RESULT|CLOSE|ERROR|SLIPPAGE_PROTECTION
[DubaiMatrixASI] 14:32:28.959     INFO │ 📩 Resposta EA Socket: RESULT|CLOSE|ERROR|SLIPPAGE_PROTECTION
[DubaiMatrixASI] 14:32:29.007     INFO │ 📩 Resposta EA Socket: RESULT|CLOSE|ERROR|SLIPPAGE_PROTECTION
[DubaiMatrixASI] 14:32:29.063     INFO │ 📩 Resposta EA Socket: RESULT|CLOSE|SUCCESS|1436847603|68187.28
[DubaiMatrixASI] 14:32:29.144    OMEGA │ ⚡ ⏰ TIME DECAY EXIT: Ticket 1586905121 | Aberto por 374s | Profit=$3.94
[DubaiMatrixASI] 14:32:29.157    OMEGA │ ⚡ ⚡ FAST CLOSE SINALIZADO: ticket=1586905121 (via socket)
[DubaiMatrixASI] 14:32:29.167    OMEGA │ ⚡ ⏰ TIME DECAY EXIT: Ticket 1586905142 | Aberto por 374s | Profit=$3.94
[DubaiMatrixASI] 14:32:29.173    OMEGA │ ⚡ ⚡ FAST CLOSE SINALIZADO: ticket=1586905142 (via socket)
